KOD_OKRES,NAZ_OKRES,"Nabídka bytů k pronájmu (SReality, začátek března 2023)",Dostupné obecné byty (odhad 4 % celkového fondu),Odhad počtu volných lůžek v hotelích apod. zařízeních (realitická varianta - květen),Celková kapacita lůžek (předpoklad 3 lidí na byt)
40169,Benešov,12,113,339,714
40177,Beroun,40,16,0,167
40703,Blansko,21,62,210,460
40711,Brno-město,716,1165,549,6191
40720,Brno-venkov,66,80,437,875
40860,Bruntál,48,108,782,1250
40738,Břeclav,37,37,973,1195
40525,Česká Lípa,47,95,543,969
40282,České Budějovice,143,108,2080,2832
40291,Český Krumlov,16,45,2799,2982
40452,Děčín,84,98,1274,1820
40355,Domažlice,13,54,136,336
40878,Frýdek-Místek,89,83,764,1281
40657,Havlíčkův Brod,14,38,167,324
40746,Hodonín,45,50,196,480
40568,Hradec Králové,159,90,130,878
40428,Cheb,58,74,717,1112
40461,Chomutov,193,101,829,1710
40614,Chrudim,41,66,429,751
40533,Jablonec nad Nisou,68,74,2142,2569
40771,Jeseník,2,46,852,997
40576,Jičín,11,27,43,157
40665,Jihlava,55,27,194,440
40304,Jindřichův Hradec,23,60,1032,1282
40436,Karlovy Vary,146,56,3308,3915
40886,Karviná,447,404,210,2764
40185,Kladno,87,173,82,863
40363,Klatovy,11,70,1075,1317
40193,Kolín,27,97,140,513
40827,Kroměříž,45,39,175,427
40207,Kutná Hora,10,47,62,233
40541,Liberec,92,107,1376,1972
40479,Litoměřice,39,39,516,750
40487,Louny,73,29,168,474
40215,Mělník,53,29,50,297
40223,Mladá Boleslav,82,56,470,883
40495,Most,212,66,137,971
40584,Náchod,31,116,1221,1663
40894,Nový Jičín,52,128,221,762
40231,Nymburk,87,25,181,516
40789,Olomouc,277,144,367,1630
40908,Opava,125,74,114,710
40916,Ostrava-město,573,523,1206,4494
40622,Pardubice,104,40,36,468
40673,Pelhřimov,32,48,182,423
40312,Písek,37,90,802,1183
40380,Plzeň-jih,19,61,161,402
40371,Plzeň-město,297,128,254,1529
40398,Plzeň-sever,13,61,50,272
40924,Praha,3977,1258,6970,22675
40240,Praha-východ,65,44,610,937
40258,Praha-západ,92,10,504,810
40321,Prachatice,9,53,726,912
40797,Prostějov,60,60,36,396
40801,Přerov,41,59,360,660
40266,Příbram,50,70,1409,1769
40274,Rakovník,17,20,141,252
40401,Rokycany,12,42,0,162
40592,Rychnov nad Kněžnou,29,51,1027,1267
40550,Semily,10,52,2588,2774
40444,Sokolov,66,76,234,660
40339,Strakonice,13,43,179,347
40631,Svitavy,21,32,367,526
40819,Šumperk,24,93,2095,2446
40347,Tábor,39,171,416,1046
40410,Tachov,19,52,203,416
40509,Teplice,155,86,609,1332
40606,Trutnov,38,88,6239,6617
40681,Třebíč,34,59,519,798
40835,Uherské Hradiště,53,69,205,571
40517,Ústí nad Labem,158,51,168,795
40649,Ústí nad Orlicí,33,126,1181,1658
40843,Vsetín,33,70,2020,2329
40754,Vyškov,28,37,286,481
40851,Zlín,90,112,455,1061
40762,Znojmo,45,44,1670,1937
40690,Žďár nad Sázavou,20,162,400,946
