Název,Kapacita,Adresa místa poskytování,Kraj,Okres
Dětská skupina Ozničánek,12,"Oznice 91, Oznice, PSČ 756 24",Zlínský,Vsetín
DĚTSKÁ SKUPINA V IVANOVICÍCH NA HANÉ,24,"Tyršova 15/13, Ivanovice na hané, PSČ 683 23",Jihomoravský,Vyškov
Pohádka pro Wlaštovku,12,"Lidická 398/63, Karlovy Vary - Drahovice, PSČ 360 01",Karlovarský,Karlovy Vary
BAMBISVĚT ŘÍČANY,24,"17. listopadu 233/41, Říčany, PSČ 251 01",Středočeský,Praha-východ
BAMBISVĚT ŘEVNICE BAMBILÍN,17,"Komenského 1100, Řevnice, PSČ 252 30",Středočeský,Praha-západ
Školička Žatec,15,"Svatopluka Čecha 1180, Žatec, PSČ 438 01",Ústecký,Louny
DĚTSKÁ SKUPINA ŠPALÍČEK,12,"Polepská 988, Kolín, PSČ 280 02",Středočeský,Kolín
DĚTSKÁ SKUPINA SMARTBABY BLUČINA,12,"Farská 650, Blučina, PSČ 664 56",Jihomoravský,Brno-venkov
DĚTSKÁ SKUPINA POHÁDKA,12,"Václavská  33, Velké Popovice, PSČ 251 69",Středočeský,Praha-východ
DĚTSKÁ SKUPINA STARS,12,"Václavská  33, Velké Popovice, PSČ 251 69",Středočeský,Praha-východ
ZAMIŇÁČEK 2,15,"Loretánská 314/6a, Praha 1 - Hradčany, PSČ 118 00",Hlavní město Praha,Praha
DĚTSKÁ SKUPINA MEDVÍDEK V BEROUNĚ,12,"Tyršova 58/10, Beroun, PSČ 266 01",Středočeský,Beroun
MRŇOUSEK FRÝDLANT,8,"Nádražní 417, Frýdlant nad Ostravicí, PSČ 739 11",Moravskoslezský,Frýdek-Místek
Srdíčko - dětská skupina při nemocnici Strakonice,12,"Radomyšlská 336/č. st. 419, Strakonice, PSČ 386 29",Jihočeský,Strakonice
Zamináček,15,"Loretánská 314/6a, Praha 1 - Hradčany, PSČ 118 00",Hlavní město Praha,Praha
"Dětská skupina ""Hrajeme si""",12,"České družiny 18/1634, Praha 6 - Dejvice, PSČ 160 00",Hlavní město Praha,Praha
Dětská skupina Radost,12,"Bubenečská 13/308, Praha 6 - Bubeneč, PSČ 160 00",Hlavní město Praha,Praha
Dětská skupina Náměstí 28. října II,24,"Drobného 304/30, Brno  - Černá Pole, PSČ 602 00",Jihomoravský,Brno-město
Sluníčko,12,"Jana Babáka 2733/11, Brno - Brno - Královo Pole, PSČ 612 00",Jihomoravský,Brno-město
Dětská skupina MF Korunka 1.,12,"Letenská 9, Praha 1 - Malá Strana, PSČ 118 10",Hlavní město Praha,Praha
Dětská skupina MF Korunka 2.,12,"Letenská 9, Praha 1 - Malá Strana, PSČ 118 10",Hlavní město Praha,Praha
Dětská skupina NUDZ - Neuronek,15,"Topolová 748, Klecany, PSČ 250 67",Středočeský,Praha-východ
Dětská skupina Malíček,12,"Martinská 141/2, Plzeň - Jižní Předměstí, PSČ 301 00",Plzeňský,Plzeň-město
Ratolest - dětská skupina Berušky,17,"K Blahobytu 727, Pardubice - Zelené Předměstí, PSČ 530 02",Pardubický,Pardubice
Ratolest - dětská skupina Zajíčci,17,"K Blahobytu 727, Pardubice - Zelené Předměstí, PSČ 530 02",Pardubický,Pardubice
Dětská skupina Fafík,12,"Hradecká 1151, Hradec Králové, PSČ 500 03",Královéhradecký,Hradec Králové
Beruška,6,"Purkyňova 2731/11, Hodonín, PSČ 695 26",Jihomoravský,Hodonín
Dětská skupina Kondracký hlídáček,12,"Kondrac 1, Kondrac, PSČ 258 01",Středočeský,Benešov
Dětská skupina U Templu,12,"U Templu 378/8, Boskovice, PSČ 630 01",Jihomoravský,Blansko
Dětská skupina Delfínci,12,"Havlíčkova 426, Česká Lípa, PSČ 470 01",Liberecký,Česká Lípa
Hennlich Baby Club,12,"Českolipská 1996/9, Litoměřice, PSČ 412 01",Ústecký,Litoměřice
Bejachad,11,"Vinohradská 159, Praha 10, PSČ 110 00",Hlavní město Praha,Praha
Dětská skupina PAMPELIŠKA,24,"Máchova 1134, Třinec - Lyžbice, PSČ 739 61",Moravskoslezský,Frýdek-Místek
Miniškolka MARCO,12,"Riegrova 1543, Rakovník - Zátiší, PSČ 269 01",Středočeský,Rakovník
Daneta,7,"Uhelná 1142, Hradec Králové, PSČ 500 03",Královéhradecký,Hradec Králové
Dětská skupina MOTÝL,12,"Branišovská 1716/31, České Budějovice, PSČ 37005",Jihočeský,České Budějovice
Dětská skupina ČÁP - DOOSAN,12,"Lidická 384, Dobříš, PSČ 263 01",Středočeský,Příbram
Sluníčko Domažlice,17,"Michlova 565, Domažlice, PSČ 344 01",Plzeňský,Domažlice
ATRIUM školka,15,"Husova 167/7, Brno - Staré Brno, PSČ 602 00",Jihomoravský,Brno-město
Dětský klub a školička Jahodnice,15,"Bezdrevská 546, Praha 14 - Hostavice, PSČ 198 00",Hlavní město Praha,Praha
Motejlci,12,"Údolní 658/39, Brno, PSČ 602 00",Jihomoravský,Brno-město
KULÍŠEK,15,"Záhorského 887/2, Praha 5 - Hlubočepy, PSČ 152 00",Hlavní město Praha,Praha
U MOTÝLKŮ,12,"Golčova 24/7, Praha 4 - Kunratice, PSČ 148 00",Hlavní město Praha,Praha
Dětský koutek ADP,12,"Anglické nábřeží 2434/1, Plzeň - Východní Předměstí, PSČ 301 00",Plzeňský,Plzeň-město
Dětská skupina Žižkovská školička I,12,"Cimburkova 600/18, Praha 3 - Žižkov, PSČ 130 00",Hlavní město Praha,Praha
Dětská skupina Žižkovská školička II,12,"Cimburkova 600/18, Praha 3 - Žižkov, PSČ 130 00",Hlavní město Praha,Praha
Dětská skupina Broučci,18,"Brožíkova 40, Frýdek-Místek - Místek, PSČ 738 01",Moravskoslezský,Frýdek-Místek
Dětská skupina Koťátka,18,"Brožíkova 40, Frýdek-Místek - Místek, PSČ 738 01",Moravskoslezský,Frýdek-Místek
Dětská skupina Kuřátka,18,"Brožíkova 40, Frýdek-Místek - Místek, PSČ 738 01",Moravskoslezský,Frýdek-Místek
Dětská skupina Chovánek,12,"Vejrostova 1361/8, Brno - Bystrc, PSČ 635 00",Jihomoravský,Brno-město
Kuřátka,21,"Svisle 785/2, Přerov - Přerov I - Město, PSČ 750 02",Olomoucký,Přerov
Koťátka,24,"Svisle 785/2, Přerov - Přerov I - Město, PSČ 750 02",Olomoucký,Přerov
U RYBEK,12,"V Zídkách 128, Vrané nad Vltavou, PSČ 252 46",Středočeský,Praha-západ
"Fitlínek - školka pro outdoor, zdravý životní styl a ekologii",24,"27, Libčany, PSČ 503 22",Královéhradecký,Hradec Králové
BROSE KIDS CLUB 1 - KÁČÁTKA,8,"Průmyslový Park 302, Kopřivnice - Vlčovice, PSČ 742 21",Moravskoslezský,Nový Jičín
BROSE KIDS CLUB 2 - KOŤÁTKA,15,"Průmyslový park 302, Kopřivnice - Vlčovice, PSČ 742 21",Moravskoslezský,Nový Jičín
BROSE KIDS CLUB 3 - ŠTĚŇÁTKA,15,"Průmyslový park 302, Kopřivnice - Vlčovice, PSČ 742 21",Moravskoslezský,Nový Jičín
"Denní jesličky Fügnerova, I. oddělení",12,"Fügnerova 466/39, Brno - Černá pole, PSČ 613 00",Jihomoravský,Brno-město
"Denní jesličky Fügnerova, II. oddělení",16,"Fügnerova 466/39, Brno - Černá pole, PSČ 613 00",Jihomoravský,Brno-město
"Denní jesličky Fügnerova, III. oddělení",17,"Fügnerova 466/39, Brno - Černá pole, PSČ 613 00",Jihomoravský,Brno-město
"Denní jesličky Stamicova, I. oddělení",12,"Stamicova 571/9, Brno - Kohoutovice, PSČ 623 00",Jihomoravský,Brno-město
"Denní jesličky Stamicova, II. oddělení",23,"Stamicova 571/9, Brno - Kohoutovice, PSČ 623 00",Jihomoravský,Brno-město
Dětská skupina Mateřídouška,12,"Štefánikova 288/15, Hodonín, PSČ 695 01",Jihomoravský,Hodonín
Dětská skupina Kulíšek,12,"Husova tř. 1651/125B, České Budějovice, PSČ 370 11",Jihočeský,České Budějovice
ŠKOLKA NA VEJMINKU,6,"Koterovská náves 5/5, Plzeň - Koterov, PSČ 326 00",Plzeňský,Plzeň-město
Školka Na dvorku,12,"Koterovská náves 5/5, Plzeň - Koterov, PSČ 326 00",Plzeňský,Plzeň-město
Dětská skupina Chůvička Podbořany,12,"Hlubany 157, Podbořany - Hlubany, PSČ 441 01",Ústecký,Louny
Přírodní klub Mraveniště,12,"76, Kryštofovo Údolí, PSČ 460 01",Liberecký,Liberec
Pidilidi v Otevřené zahradě z. s.,12,"Údolní 567/33, Brno, PSČ 602 00",Jihomoravský,Brno-město
AZ Školka,12,"Třebízského 524, Kralupy nad Vltavou, PSČ 278 01",Středočeský,Mělník
Květinka Pyšely,18,"34, Pyšely - Nová Ves, PSČ 251 67",Středočeský,Benešov
DĚTSKÁ SKUPINA JESLE KLÁŠTEREC,24,"Dlouhá 540, Klášterec nad Ohří, PSČ 431 51",Ústecký,Chomutov
Začít spolu 4medvědi,19,"Bítovská 1122/5, Praha 4, PSČ 140 00",Hlavní město Praha,Praha
Montessori centrum 4medvědi,24,"Nad hájem 401/3, Praha 4 - Hodovičky, PSČ 147 00",Hlavní město Praha,Praha
Pupálek,12,"Gebauerova 1182/18, Brno - Židenice, PSČ 615 00",Jihomoravský,Brno-město
Dětská skupina RODINKA,10,"Želatovská 2617/12, Přerov - Přerov I-Město, PSČ 750 02",Olomoucký,Přerov
Dětská skupina ALCEDO - Klubíčko,10,"Záviše Kalandry 1095, Vsetín, PSČ 755 01",Zlínský,Vsetín
VČELIČKA,12,"160, Zlosyň - Zlosyň - Vojkovice, PSČ 277 44",Středočeský,Mělník
DĚTSKÁ SKUPINA KRÉTA,12,"Kréta 301, Terezín, PSČ 411 55",Ústecký,Litoměřice
