KOD_ORP,NAZ_ORP,KOD_KRAJ,KOD_CZNUTS3,NAZ_CZNUTS3,ms_kapacita,ms_deti_spolu,volna_mista_ms,pocet_ms,ms_naplnenost_22,zs_kapacita,zs_zaci_spolu,volna_mista_zs,pocet_zs,zs_naplnenost_22
1000,Praha,3018,CZ010,Hlavní město Praha,46706,41824,4882,409,"89,54738149",139166,108829,30337,250,"78,20085366"
2101,Benešov,3026,CZ020,Středočeský kraj,2661,2329,332,30,"87,52348741",7810,6693,1117,23,"85,6978233"
2102,Beroun,3026,CZ020,Středočeský kraj,2882,2742,140,43,"95,14226232",7980,6592,1388,31,"82,60651629"
2103,Brandýs nad Labem-Stará Boleslav,3026,CZ020,Středočeský kraj,5128,4790,338,62,"93,40873635",13924,12254,1670,36,"88,00632002"
2104,Čáslav,3026,CZ020,Středočeský kraj,946,869,77,15,"91,86046512",2885,2343,542,12,"81,21317158"
2105,Černošice,3026,CZ020,Středočeský kraj,6685,6288,397,84,"94,06133134",18117,15711,2406,51,"86,71965557"
2106,Český Brod,3026,CZ020,Středočeský kraj,835,778,57,14,"93,17365269",1851,1753,98,7,"94,70556456"
2107,Dobříš,3026,CZ020,Středočeský kraj,946,891,55,16,"94,18604651",2799,2349,450,11,"83,92282958"
2108,Hořovice,3026,CZ020,Středočeský kraj,1051,995,56,18,"94,6717412",3542,2774,768,15,"78,31733484"
2109,Kladno,3026,CZ020,Středočeský kraj,4445,4131,314,55,"92,93588301",15544,12050,3494,46,"77,52187339"
2110,Kolín,3026,CZ020,Středočeský kraj,3058,2962,96,44,"96,86069326",9490,8212,1278,31,"86,53319283"
2111,Kralupy nad Vltavou,3026,CZ020,Středočeský kraj,1254,1216,38,17,"96,96969697",3631,3157,474,13,"86,94574497"
2112,Kutná Hora,3026,CZ020,Středočeský kraj,1621,1566,55,26,"96,6070327",5223,4023,1200,17,"77,02469845"
2113,Lysá nad Labem,3026,CZ020,Středočeský kraj,1290,1179,111,13,"91,39534884",4356,3594,762,8,"82,50688705"
2114,Mělník,3026,CZ020,Středočeský kraj,1671,1550,121,27,"92,75882705",5141,4122,1019,24,"80,17895351"
2115,Mladá Boleslav,3026,CZ020,Středočeský kraj,4276,3912,364,57,"91,48737138",12647,10703,1944,35,"84,62876572"
2116,Mnichovo Hradiště,3026,CZ020,Středočeský kraj,668,623,45,9,"93,26347305",1914,1597,317,7,"83,43782654"
2117,Neratovice,3026,CZ020,Středočeský kraj,1201,1127,74,11,"93,83846794",3360,3142,218,10,"93,51190476"
2118,Nymburk,3026,CZ020,Středočeský kraj,1473,1397,76,26,"94,84046164",4687,3658,1029,18,"78,0456582"
2119,Poděbrady,3026,CZ020,Středočeský kraj,1235,1035,200,20,"83,80566802",3443,2895,548,12,"84,08364798"
2120,Příbram,3026,CZ020,Středočeský kraj,2773,2451,322,42,"88,38802741",8278,6223,2055,25,"75,17516308"
2121,Rakovník,3026,CZ020,Středočeský kraj,2260,1938,322,41,"85,75221239",7347,5130,2217,27,"69,82441813"
2122,Říčany,3026,CZ020,Středočeský kraj,3445,3171,274,50,"92,04644412",9208,8413,795,30,"91,3662033"
2123,Sedlčany,3026,CZ020,Středočeský kraj,870,749,121,14,"86,09195402",3260,1935,1325,13,"59,35582822"
2124,Slaný,3026,CZ020,Středočeský kraj,1456,1320,136,27,"90,65934066",4445,3681,764,12,"82,81214848"
2125,Vlašim,3026,CZ020,Středočeský kraj,940,873,67,15,"92,87234043",3055,2115,940,8,"69,23076923"
2126,Votice,3026,CZ020,Středočeský kraj,441,411,30,7,"93,19727891",1390,1042,348,5,"74,96402878"
