ORP_KOD,ORP_nazev,zaci_celkem,ukrajinsti_zaci,ukrajinci_na_1000_zaku
1000,Praha,108700,3908,"359,5216064"
2101,Benešov,6590,45,"68,28527832"
2102,Beroun,6514,53,"81,36322021"
2103,Brandýs n,11589,254,"219,1733551"
2104,Čáslav,2352,12,"51,02040863"
2105,Černošic,15023,162,"107,8346558"
2106,Český Br,1783,19,"106,5619736"
2107,Dobříš,2363,16,"67,71054077"
2108,Hořovice,2786,22,"78,96626282"
2109,Kladno,12164,160,"131,535675"
2110,Kolín,8190,127,"155,0671539"
2111,Kralupy na,3168,44,"138,8888855"
2112,Kutná Hor,4159,61,"146,6698761"
2113,Lysá nad,3544,45,"126,9751663"
2114,Mělník,4193,56,"133,5559235"
2115,Mladá Bol,10672,176,"164,9175415"
2116,Mnichovo H,1590,9,"56,60377502"
2117,Neratovice,3122,35,"112,1076202"
2118,Nymburk,3764,20,"53,13496399"
2119,Poděbrady,2889,14,"48,45967484"
2120,Příbram,6243,34,"54,46099472"
2121,Rakovník,5178,44,"84,97489166"
2122,Říčany,8125,81,"99,69230652"
2123,Sedlčany,1972,6,"30,42596436"
2124,Slaný,3682,50,"135,7957611"
2125,Vlašim,2126,14,"65,85136414"
2126,Votice,1087,8,"73,59705353"
3101,Blatná,1170,5,"42,73504257"
3102,České Bu,14904,135,"90,57971191"
3103,Český Kr,3900,15,"38,46154022"
3104,Dačice,1581,3,"18,97533226"
3105,Jindřich,4044,18,"44,51038742"
3106,Kaplice,2064,52,"251,9379883"
3107,Milevsko,1476,11,"74,52574158"
3108,Písek,4811,43,"89,37850952"
3109,Prachatice,2829,15,"53,0222702"
3110,Soběslav,1838,8,"43,52556992"
3111,Strakonice,4208,12,"28,51711082"
3112,Tábor,7404,67,"90,49162292"
3113,Trhové Sv,1740,5,"28,73563194"
3114,Třeboň,2173,3,"13,80579853"
3115,Týn nad V,1222,3,"24,54991722"
3116,Vimperk,1634,7,"42,83965683"
3117,Vodňany,1030,23,"223,3009644"
3201,Blovice,1023,4,"39,10068512"
3202,Domažlice,3725,30,"80,53691101"
3203,Horažďov,1124,1,"8,89679718"
3204,Horšovsk,1438,11,"76,49513245"
3205,Klatovy,4619,34,"73,60900879"
3206,Kralovice,1884,8,"42,46284485"
3207,Nepomuk,966,0,0
3208,Nýřany,4638,21,"45,27813721"
3209,Plzeň,17471,453,"259,2868042"
3210,Přeštice,2171,13,"59,88024139"
3211,Rokycany,4142,40,"96,57170105"
3212,Stod,2039,17,"83,37420654"
3213,Stříbro,1517,6,"39,55174637"
3214,Sušice,1927,3,"15,56824112"
3215,Tachov,3212,75,"233,4993744"
4101,Aš,1586,6,"37,83102036"
4102,Cheb,4246,43,"101,2717819"
4103,Karlovy Va,7143,136,"190,3961945"
4104,Kraslice,1115,1,"8,96860981"
4105,Mariánsk,2006,19,"94,71585083"
4106,Ostrov,2072,8,"38,61003876"
4107,Sokolov,6643,12,"18,06412697"
4201,Bílina,1714,1,"5,834305763"
4202,Děčín,7044,12,"17,03577423"
4203,Chomutov,7402,68,"91,86706543"
4204,Kadaň,3696,28,"75,75757599"
4205,Litoměři,5861,26,"44,36103058"
4206,Litvínov,3241,5,"15,42733765"
4207,Louny,3920,26,"66,32653046"
4208,Lovosice,2500,17,68
4209,Most,6597,34,"51,53857803"
